User Link,Followers Count,Likes Count,Views Count for Last 5 Videos,Video Details for Last 5 Videos
https://www.tiktok.com/@miana_mel,33.3K,1.3M,"94.7K, 125.2K, 178.5K, 16K, 11.8K","https://www.tiktok.com/@miana_mel/video/7307280431035075873: 7739, https://www.tiktok.com/@miana_mel/video/7301727283574803744: 9490, https://www.tiktok.com/@miana_mel/video/7291676207144389920: 11.8K"
https://www.tiktok.com/@viola__karp,155,5180,"57.3K, 4990, 1870, 441, 1306","https://www.tiktok.com/@viola__karp/video/7312958417549675782: 4196, https://www.tiktok.com/@viola__karp/video/7243718586299092229: 38, https://www.tiktok.com/@viola__karp/video/7226085169285958918: 96"
https://www.tiktok.com/@sofijaninness,2370,214.7K,"115.7K, 928.1K, 387, 663, 4084","https://www.tiktok.com/@sofijaninness/video/7240924028217855278: 106K, https://www.tiktok.com/@sofijaninness/video/7305931891046354222: 174, https://www.tiktok.com/@sofijaninness/video/7284003430438407470: 588"
https://www.tiktok.com/@user435633282959,146,22.8K,"1299, 319, 1174, 309.9K, 28.5K","https://www.tiktok.com/@user435633282959/video/7308834636594040096: 25, https://www.tiktok.com/@user435633282959/video/7308831466220277024: 5, https://www.tiktok.com/@user435633282959/video/7306462064925625632: 21.2K"
https://www.tiktok.com/@edijsvp,9027,206.9K,"71.9K, 74.1K, 148.8K, 10.9K, 1200","https://www.tiktok.com/@edijsvp/video/7153312507434650886: 6459, https://www.tiktok.com/@edijsvp/video/7141264741527211269: 3848, https://www.tiktok.com/@edijsvp/video/7134991409123200261: 15.4K"
https://www.tiktok.com/@christmaschannel18,93.8K,3.6M,"201.7K, 27.5M, 384.2K, 2041, 1780","https://www.tiktok.com/@christmaschannel18/video/7285027085297405216: 13K, https://www.tiktok.com/@christmaschannel18/video/7277478988199595296: 3.4M, https://www.tiktok.com/@christmaschannel18/video/7286370100838403361: 28.7K"
https://www.tiktok.com/@khrystyna_trainer,8155,111.8K,"2866, 117.8K, 224.5K, 2401, 10.7K","https://www.tiktok.com/@khrystyna_trainer/video/7311031734261255430: 98, https://www.tiktok.com/@khrystyna_trainer/video/7294308796241808645: 8079, https://www.tiktok.com/@khrystyna_trainer/video/7282788873657126150: 11K"
https://www.tiktok.com/@sofijaninness,2370,214.7K,"115.7K, 928.1K, 387, 663, 4084","https://www.tiktok.com/@sofijaninness/video/7240924028217855278: 106K, https://www.tiktok.com/@sofijaninness/video/7305931891046354222: 174, https://www.tiktok.com/@sofijaninness/video/7284003430438407470: 588"
https://www.tiktok.com/@maria_christinx,338,3798,"834, 358, 45.5K, 685, 1007","https://www.tiktok.com/@maria_christinx/video/7302921787275267360: 51, https://www.tiktok.com/@maria_christinx/video/7279894766190464288: 23, https://www.tiktok.com/@maria_christinx/video/7278732839032491297: 2618"
https://www.tiktok.com/@abbieadventures,1249,93K,"143.1K, 195.9K, 68.5K, 1210, 669","https://www.tiktok.com/@abbieadventures/video/7298685153721716001: 26.6K, https://www.tiktok.com/@abbieadventures/video/7275790857305984288: 2787, https://www.tiktok.com/@abbieadventures/video/7314300906873376032: 77"
https://www.tiktok.com/@user435633282959,146,22.8K,"1299, 319, 1174, 309.9K, 28.5K","https://www.tiktok.com/@user435633282959/video/7308834636594040096: 25, https://www.tiktok.com/@user435633282959/video/7308831466220277024: 5, https://www.tiktok.com/@user435633282959/video/7306462064925625632: 21.2K"
https://www.tiktok.com/@christmaschannel18,93.8K,3.6M,"201.7K, 27.5M, 384.2K, 2041, 1780","https://www.tiktok.com/@christmaschannel18/video/7285027085297405216: 13K, https://www.tiktok.com/@christmaschannel18/video/7277478988199595296: 3.4M, https://www.tiktok.com/@christmaschannel18/video/7286370100838403361: 28.7K"
https://www.tiktok.com/@nilushakov,25.1K,280.3K,"205.3K, 99.4K, 469.5K, 16.9K, 14.6K","https://www.tiktok.com/@nilushakov/video/7278689392787541280: 7558, https://www.tiktok.com/@nilushakov/video/7305772628466322721: 3822, https://www.tiktok.com/@nilushakov/video/7311346295527148832: 11.7K"
https://www.tiktok.com/@ivarsijabs,31.4K,455.1K,"253.7K, 78.3K, 10.3K, 7122, 44.9K","https://www.tiktok.com/@ivarsijabs/video/7306515743045209377: 8888, https://www.tiktok.com/@ivarsijabs/video/7315061518754696480: 4706, https://www.tiktok.com/@ivarsijabs/video/7314690354408705312: 354"
https://www.tiktok.com/@viola__karp,155,5180,"57.3K, 4990, 1870, 441, 1306","https://www.tiktok.com/@viola__karp/video/7312958417549675782: 4196, https://www.tiktok.com/@viola__karp/video/7243718586299092229: 38, https://www.tiktok.com/@viola__karp/video/7226085169285958918: 96"
https://www.tiktok.com/@edijsvp,9027,206.9K,"71.9K, 74.1K, 148.8K, 11K, 1201","https://www.tiktok.com/@edijsvp/video/7153312507434650886: 6459, https://www.tiktok.com/@edijsvp/video/7141264741527211269: 3848, https://www.tiktok.com/@edijsvp/video/7134991409123200261: 15.4K"
